2021-07-26 10:58:46 INFO  HospitalManagementDoctorApplication:78 - in Doctor management controller
2021-07-26 11:11:40 INFO  HospitalManagementDoctorApplication:92 - in controller -> get method
2021-07-26 11:11:40 INFO  HospitalManagementDoctorController:28 - in service - get method
2021-07-26 21:03:55 INFO  HospitalManagementPatientApplication:105 - in patient -> get patient report method
2021-07-26 21:50:50 INFO  HospitalManagementDoctorApplication:101 - In doctor controller -> get method
2021-07-26 21:50:50 INFO  HospitalManagementDoctorController:30 - In doctor service - get method
2021-07-26 21:50:50 INFO  class:29 - In doctor DAO -> get method
2021-07-26 21:51:37 INFO  HospitalManagementDoctorApplication:101 - In doctor controller -> get method
2021-07-26 21:51:37 INFO  HospitalManagementDoctorController:30 - In doctor service - get method
2021-07-26 21:51:37 INFO  class:29 - In doctor DAO -> get method
2021-07-26 22:21:53 INFO  HospitalManagementPatientApplication:121 - In patient controller -> getParticularPatientdetails method
2021-07-26 22:21:53 INFO  class:37 - In patient service - getParticularPatientDetails method
2021-07-26 22:21:53 INFO  class:38 - In patient DAO ->getParticularPatientDetails method
2021-07-26 22:21:58 INFO  class:233 - In patient DAO -> getPatientId() method
2021-07-26 22:24:50 INFO  HospitalManagementPatientApplication:121 - In patient controller -> getParticularPatientdetails method
2021-07-26 22:24:50 INFO  class:37 - In patient service - getParticularPatientDetails method
2021-07-26 22:24:50 INFO  class:38 - In patient DAO ->getParticularPatientDetails method
2021-07-26 22:24:55 INFO  class:232 - In patient DAO -> getPatientId() method
2021-07-26 22:25:36 INFO  HospitalManagementPatientApplication:121 - In patient controller -> getParticularPatientdetails method
2021-07-26 22:25:36 INFO  class:37 - In patient service - getParticularPatientDetails method
2021-07-26 22:25:36 INFO  class:38 - In patient DAO ->getParticularPatientDetails method
2021-07-26 22:25:42 INFO  class:232 - In patient DAO -> getPatientId() method
2021-07-26 22:25:59 INFO  HospitalManagementPatientApplication:121 - In patient controller -> getParticularPatientdetails method
2021-07-26 22:25:59 INFO  class:37 - In patient service - getParticularPatientDetails method
2021-07-26 22:25:59 INFO  class:38 - In patient DAO ->getParticularPatientDetails method
2021-07-26 22:26:29 INFO  class:232 - In patient DAO -> getPatientId() method
2021-07-26 22:30:12 INFO  HospitalManagementDoctorApplication:122 - In doctor controller -> get method
2021-07-26 22:30:12 INFO  HospitalManagementDoctorController:30 - In doctor service - get method
2021-07-26 22:30:12 INFO  class:29 - In doctor DAO -> get method
2021-07-26 22:30:24 INFO  HospitalManagementDoctorApplication:126 - In doctor controller -> getParticularDoctordetails method
2021-07-26 22:30:24 INFO  HospitalManagementDoctorController:34 - In doctor service - getParticularDoctorDetails method
2021-07-26 22:30:24 INFO  class:33 - In doctor DAO -> getParticularDoctorDetails method
2021-07-26 22:31:49 INFO  HospitalManagementDoctorApplication:126 - In doctor controller -> getParticularDoctordetails method
2021-07-26 22:31:49 INFO  HospitalManagementDoctorController:34 - In doctor service - getParticularDoctorDetails method
2021-07-26 22:31:49 INFO  class:33 - In doctor DAO -> getParticularDoctorDetails method
2021-07-26 22:33:07 INFO  HospitalManagementDoctorApplication:126 - In doctor controller -> getParticularDoctordetails method
2021-07-26 22:33:07 INFO  HospitalManagementDoctorController:34 - In doctor service - getParticularDoctorDetails method
2021-07-26 22:33:07 INFO  class:33 - In doctor DAO -> getParticularDoctorDetails method
2021-07-26 22:35:25 INFO  HospitalManagementDoctorApplication:115 - In doctor controller -> getParticularDoctordetails method
2021-07-26 22:35:25 INFO  HospitalManagementDoctorController:34 - In doctor service - getParticularDoctorDetails method
2021-07-26 22:35:25 INFO  class:33 - In doctor DAO -> getParticularDoctorDetails method
2021-07-26 22:35:46 INFO  HospitalManagementDoctorApplication:115 - In doctor controller -> getParticularDoctordetails method
2021-07-26 22:35:46 INFO  HospitalManagementDoctorController:34 - In doctor service - getParticularDoctorDetails method
2021-07-26 22:35:46 INFO  class:33 - In doctor DAO -> getParticularDoctorDetails method
2021-07-26 22:38:14 INFO  HospitalManagementDoctorApplication:94 - In doctor controller -> add method
2021-07-26 22:39:03 INFO  HospitalManagementDoctorController:15 - In doctor service - add method
2021-07-26 22:39:03 INFO  class:14 - In doctor DAO -> add method
2021-07-26 22:40:15 INFO  HospitalManagementDoctorApplication:99 - In doctor controller -> update method
2021-07-26 22:40:15 INFO  HospitalManagementDoctorController:20 - In doctor service - update method
2021-07-26 22:40:15 INFO  class:19 - In doctor DAO -> update method
2021-07-26 22:43:47 INFO  HospitalManagementDoctorApplication:107 - In doctor controller -> get method
2021-07-26 22:43:47 INFO  HospitalManagementDoctorController:30 - In doctor service - get method
2021-07-26 22:43:47 INFO  class:29 - In doctor DAO -> get method
2021-07-26 22:46:03 INFO  HospitalManagementDoctorApplication:109 - In doctor controller -> get method
2021-07-26 22:46:03 INFO  HospitalManagementDoctorController:30 - In doctor service - get method
2021-07-26 22:46:03 INFO  class:29 - In doctor DAO -> get method
2021-07-26 22:46:04 INFO  HospitalManagementDoctorApplication:109 - In doctor controller -> get method
2021-07-26 22:46:04 INFO  HospitalManagementDoctorController:30 - In doctor service - get method
2021-07-26 22:46:04 INFO  class:29 - In doctor DAO -> get method
2021-07-26 22:46:04 INFO  HospitalManagementDoctorApplication:109 - In doctor controller -> get method
2021-07-26 22:46:04 INFO  HospitalManagementDoctorController:30 - In doctor service - get method
2021-07-26 22:46:04 INFO  class:29 - In doctor DAO -> get method
2021-07-26 22:46:04 INFO  HospitalManagementDoctorApplication:109 - In doctor controller -> get method
2021-07-26 22:46:04 INFO  HospitalManagementDoctorController:30 - In doctor service - get method
2021-07-26 22:46:04 INFO  class:29 - In doctor DAO -> get method
2021-07-26 22:46:04 INFO  HospitalManagementDoctorApplication:109 - In doctor controller -> get method
2021-07-26 22:46:04 INFO  HospitalManagementDoctorController:30 - In doctor service - get method
2021-07-26 22:46:04 INFO  class:29 - In doctor DAO -> get method
2021-07-26 22:46:04 INFO  HospitalManagementDoctorApplication:109 - In doctor controller -> get method
2021-07-26 22:46:04 INFO  HospitalManagementDoctorController:30 - In doctor service - get method
2021-07-26 22:46:04 INFO  class:29 - In doctor DAO -> get method
2021-07-26 22:46:04 INFO  HospitalManagementDoctorApplication:109 - In doctor controller -> get method
2021-07-26 22:46:04 INFO  HospitalManagementDoctorController:30 - In doctor service - get method
2021-07-26 22:46:04 INFO  class:29 - In doctor DAO -> get method
2021-07-26 22:46:04 INFO  HospitalManagementDoctorApplication:109 - In doctor controller -> get method
2021-07-26 22:46:04 INFO  HospitalManagementDoctorController:30 - In doctor service - get method
2021-07-26 22:46:04 INFO  class:29 - In doctor DAO -> get method
2021-07-26 22:46:04 INFO  HospitalManagementDoctorApplication:109 - In doctor controller -> get method
2021-07-26 22:46:04 INFO  HospitalManagementDoctorController:30 - In doctor service - get method
2021-07-26 22:46:04 INFO  class:29 - In doctor DAO -> get method
2021-07-26 22:46:04 INFO  HospitalManagementDoctorApplication:109 - In doctor controller -> get method
2021-07-26 22:46:04 INFO  HospitalManagementDoctorController:30 - In doctor service - get method
2021-07-26 22:46:04 INFO  class:29 - In doctor DAO -> get method
2021-07-26 22:46:04 INFO  HospitalManagementDoctorApplication:109 - In doctor controller -> get method
2021-07-26 22:46:04 INFO  HospitalManagementDoctorController:30 - In doctor service - get method
2021-07-26 22:46:04 INFO  class:29 - In doctor DAO -> get method
2021-07-26 22:46:04 INFO  HospitalManagementDoctorApplication:109 - In doctor controller -> get method
2021-07-26 22:46:04 INFO  HospitalManagementDoctorController:30 - In doctor service - get method
2021-07-26 22:46:04 INFO  class:29 - In doctor DAO -> get method
2021-07-26 22:46:04 INFO  HospitalManagementDoctorApplication:109 - In doctor controller -> get method
2021-07-26 22:46:04 INFO  HospitalManagementDoctorController:30 - In doctor service - get method
2021-07-26 22:46:04 INFO  class:29 - In doctor DAO -> get method
2021-07-26 22:46:04 INFO  HospitalManagementDoctorApplication:109 - In doctor controller -> get method
2021-07-26 22:46:04 INFO  HospitalManagementDoctorController:30 - In doctor service - get method
2021-07-26 22:46:04 INFO  class:29 - In doctor DAO -> get method
2021-07-26 22:46:04 INFO  HospitalManagementDoctorApplication:109 - In doctor controller -> get method
2021-07-26 22:46:04 INFO  HospitalManagementDoctorController:30 - In doctor service - get method
2021-07-26 22:46:04 INFO  class:29 - In doctor DAO -> get method
2021-07-26 22:46:04 INFO  HospitalManagementDoctorApplication:109 - In doctor controller -> get method
2021-07-26 22:46:04 INFO  HospitalManagementDoctorController:30 - In doctor service - get method
2021-07-26 22:46:04 INFO  class:29 - In doctor DAO -> get method
2021-07-26 22:46:04 INFO  HospitalManagementDoctorApplication:109 - In doctor controller -> get method
2021-07-26 22:46:04 INFO  HospitalManagementDoctorController:30 - In doctor service - get method
2021-07-26 22:46:04 INFO  class:29 - In doctor DAO -> get method
2021-07-26 22:46:04 INFO  HospitalManagementDoctorApplication:109 - In doctor controller -> get method
2021-07-26 22:46:04 INFO  HospitalManagementDoctorController:30 - In doctor service - get method
2021-07-26 22:46:04 INFO  class:29 - In doctor DAO -> get method
2021-07-26 22:46:04 INFO  HospitalManagementDoctorApplication:109 - In doctor controller -> get method
2021-07-26 22:46:04 INFO  HospitalManagementDoctorController:30 - In doctor service - get method
2021-07-26 22:46:04 INFO  class:29 - In doctor DAO -> get method
2021-07-26 22:46:04 INFO  HospitalManagementDoctorApplication:109 - In doctor controller -> get method
2021-07-26 22:46:04 INFO  HospitalManagementDoctorController:30 - In doctor service - get method
2021-07-26 22:46:04 INFO  class:29 - In doctor DAO -> get method
2021-07-26 22:46:04 INFO  HospitalManagementDoctorApplication:109 - In doctor controller -> get method
2021-07-26 22:46:04 INFO  HospitalManagementDoctorController:30 - In doctor service - get method
2021-07-26 22:46:04 INFO  class:29 - In doctor DAO -> get method
2021-07-26 22:46:04 INFO  HospitalManagementDoctorApplication:109 - In doctor controller -> get method
2021-07-26 22:46:04 INFO  HospitalManagementDoctorController:30 - In doctor service - get method
2021-07-26 22:46:04 INFO  class:29 - In doctor DAO -> get method
2021-07-26 22:46:04 INFO  HospitalManagementDoctorApplication:109 - In doctor controller -> get method
2021-07-26 22:46:04 INFO  HospitalManagementDoctorController:30 - In doctor service - get method
2021-07-26 22:46:04 INFO  class:29 - In doctor DAO -> get method
2021-07-26 22:46:04 INFO  HospitalManagementDoctorApplication:109 - In doctor controller -> get method
2021-07-26 22:46:04 INFO  HospitalManagementDoctorController:30 - In doctor service - get method
2021-07-26 22:46:04 INFO  class:29 - In doctor DAO -> get method
